,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
2623,FF,2016-10-02,96.5,-1.6,6.15,"Diaz, Jumbo",608365,471822,field_out,hit_into_play,,,,,1,Addison Russell pops out to third baseman Eugenio Suarez.,R,R,R,CIN,CHC,X,5,popup,1,1,2016,-0.12,1.13,-0.49,3.15,,,,2,5,Top,99.94,165.66,,,,161002_164957,3.269009849945391,-141.2889171166656,-4.473160914074307,-2.16,27.51,-16.49,3.7,1.67,,80.0,69,96.9,2233,6.4,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,0.0,0.0,0.0,1,0,0,3,41,3,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,193,0.02,-0.249,,,0.0,0.249,88.0,2,-2,0.7999166069975212,0.2000833930024788,32,22,32,22,1,2,3,1,,5,1.32,0.12,0.12,,,,,,
2699,FF,2016-10-02,97.1,-1.58,6.17,"Diaz, Jumbo",608365,471822,,foul,,,,,4,Foul,R,R,R,CIN,CHC,S,,,1,0,2016,-0.33,0.9,-0.45,2.83,,,,2,5,Top,,,,,,161002_164930,3.9144703200380255,-142.2353978445591,-4.819745260399446,-5.18,31.98,-19.22,3.7,1.67,181,79.0,71,96.6,2254,6.2,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,41,2,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,199,0.008,-0.052,,,,0.052,88.0,2,-2,0.7999166069975212,0.2000833930024788,32,22,32,22,1,2,3,1,,5,1.55,0.33,0.33,,,,,,
2866,FF,2016-10-02,97.6,-1.55,6.2,"Diaz, Jumbo",608365,471822,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,0,0,2016,-0.22,1.12,1.56,2.04,,,,2,5,Top,,,,,,161002_164911,8.952366656078263,-142.53728073735658,-7.662353395636277,-4.81,30.22,-15.71,3.79,1.73,,,,97.4,2275,6.4,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,41,1,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,201,0.008,0.034,,,,-0.034,,2,-2,0.7999166069975212,0.2000833930024788,32,22,32,22,1,2,3,1,,5,1.31,0.22,0.22,,,,,,
771,CH,2016-10-02,85.6,-0.56,6.4,"Stephenson, Robert",608365,596112,strikeout,swinging_strike_blocked,,,,,14,"Addison Russell strikes out swinging, catcher Tucker Barnhart to first baseman Joey Votto.",R,R,R,CIN,CHC,S,2,,0,2,2016,0.21,-0.13,0.55,0.08,,592178,,2,3,Top,,,,,,161002_161109,2.11358783674182,-125.02191367916268,-7.270568429584224,1.84,19.17,-32.4,3.7,1.67,,,,85.3,2100,6.0,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,0.0,0.0,1,0,0,,25,4,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,197,0.041,-0.17,,,,0.17,,2,-2,0.73067508014958,0.2693249198504199,23,22,23,22,2,1,5,1,,5,3.24,-0.21,-0.21,,,,,,
791,FF,2016-10-02,96.8,-0.6,6.13,"Stephenson, Robert",608365,596112,,foul,,,,,12,Foul,R,R,R,CIN,CHC,S,,,0,2,2016,-0.66,1.31,0.52,4.04,,592178,,2,3,Top,,,,,,161002_161037,4.736043051115972,-141.80729882484894,-2.4769546344197453,-9.61,31.63,-14.54,3.7,1.67,150,84.6,6,96.4,2408,6.3,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,25,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,207,0.007,0.0,,,,0.0,88.0,2,-2,0.73067508014958,0.2693249198504199,23,22,23,22,2,1,5,1,,5,1.16,0.66,0.66,,,,,,
814,FF,2016-10-02,95.8,-0.77,5.97,"Stephenson, Robert",608365,596112,,swinging_strike,,,,,11,Swinging Strike,R,R,R,CIN,CHC,S,,,0,1,2016,-0.74,1.16,-0.58,3.9,,592178,,2,3,Top,,,,,,161002_161012,2.471943370661012,-140.42182202207746,-1.89485113559399,-10.01,31.46,-16.95,3.7,1.67,,,,94.9,2343,6.1,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,25,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,209,0.007,-0.069,,,,0.069,,2,-2,0.73067508014958,0.2693249198504199,23,22,23,22,2,1,5,1,,5,1.36,0.74,0.74,,,,,,
838,FF,2016-10-02,95.1,-0.49,6.24,"Stephenson, Robert",608365,596112,,foul,,,,,5,Foul,R,R,R,CIN,CHC,S,,,0,0,2016,-0.59,1.35,0.06,3.02,,592178,,2,3,Top,,,,,,161002_160942,2.9924649331395736,-139.39138997800404,-5.255384813339726,-8.1,31.83,-14.03,3.7,1.67,191,77.8,65,94.8,2293,6.5,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,25,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,209,0.007,-0.043,,,,0.043,88.0,2,-2,0.73067508014958,0.2693249198504199,23,22,23,22,2,1,5,1,,5,1.21,0.59,0.59,,,,,,
1978,CH,2016-10-02,86.5,-0.78,6.46,"Stephenson, Robert",608365,596112,grounded_into_double_play,hit_into_play,,,,,5,"Addison Russell grounds into a double play, third baseman Eugenio Suarez to second baseman Ivan De Jesus to first baseman Joey Votto.   Ben Zobrist out at 2nd.    Addison Russell out at 1st.",R,R,R,CIN,CHC,X,5,ground_ball,0,1,2016,0.03,0.06,0.24,2.63,451594,592178,450314,1,1,Top,106.0,165.05,,,,161002_152252,2.374275724396495,-126.70877791218729,-2.000093208743177,-0.12,23.26,-31.15,3.7,1.67,10,92.1,-15,85.2,2400,5.6,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,0.16,0.16,0.0,1,0,0,2,5,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,189,0.146,-0.251,,,0.169,0.251,92.1,0,0,0.4012472314756728,0.5987527685243271,23,22,23,22,1,0,5,1,,5,3.0,-0.03,-0.03,,,,,,
1987,FF,2016-10-02,94.6,-0.87,6.02,"Stephenson, Robert",608365,596112,,called_strike,,,,,14,Called Strike,R,R,R,CIN,CHC,S,,,0,0,2016,-0.75,0.92,1.11,2.5,451594,592178,450314,1,1,Top,,,,,,161002_152233,7.097885999656394,-138.47997003177028,-4.756327185668128,-10.97,33.41,-19.73,3.8,1.58,,,,93.1,2317,6.0,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219,0.001,-0.059,,,,0.059,,0,0,0.4012472314756728,0.5987527685243271,23,22,23,22,1,0,5,1,,5,1.69,0.75,0.75,,,,,,
1764,SL,2016-10-01,94.9,-1.72,5.79,"Lorenzen, Michael",608365,547179,strikeout,called_strike,,,,,5,Addison Russell called out on strikes.,R,R,R,CIN,CHC,S,2,,3,2,2016,0.33,0.43,-0.22,2.79,,,,1,8,Top,,,,,,161001_185419,3.062054390569677,-138.93208268790906,-2.3344881828373527,3.63,26.84,-26.33,3.74,1.68,,,,94.0,2381,5.7,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,0.0,0.0,1,0,0,,66,6,Slider,7,4,4,7,4,7,4,7,Standard,Standard,183,0.018,-0.336,,,,0.336,,3,-3,0.951427057615934,0.048572942384066,24,22,24,22,1,3,3,1,,1,2.11,-0.33,-0.33,,,,,,
